x,y,heading,curvature
2.181237288406587993e+01,-1.688175794589988854e+01,-2.605576067740111856e+00,-1.107745368189641672e-01
2.170706197812537042e+01,-1.694330127684454368e+01,-2.619027550258862025e+00,-6.672059352779551034e-02
2.160153917471228979e+01,-1.700389675693580216e+01,-2.618870044024239618e+00,6.929822935066100309e-02
2.149625111536653677e+01,-1.706554228721339683e+01,-2.602243328950690771e+00,2.020406021802575169e-01
2.139165852381256627e+01,-1.713029876059790979e+01,-2.569690596006179995e+00,3.246329170383809859e-01
2.128822212377480838e+01,-1.720022707000990181e+01,-2.522371157138766140e+00,4.292720849178576770e-01
2.118613244733971968e+01,-1.727617949654997886e+01,-2.490909493085044168e+00,2.610013964228565658e-02
2.108414495375231468e+01,-1.735258900349107236e+01,-2.515848834662938849e+00,-4.257219368364382195e-01
2.098054050140272153e+01,-1.742176558609983417e+01,-2.601140325902048467e+00,-9.681972144024176830e-01
2.087359964653529332e+01,-1.747601788809515710e+01,-2.756723707585464478e+00,-1.647319753518028396e+00
2.076162465782265798e+01,-1.750774200698457150e+01,-2.981586527572037681e+00,-1.937787730398910835e+00
2.064418817894031832e+01,-1.751445088422061858e+01,3.107183410527951661e+00,-1.359517709945026409e+00
2.052281354383475787e+01,-1.750151449376912893e+01,2.974200993934264403e+00,-8.411883909357377176e-01
2.039918975653827360e+01,-1.747497009915487354e+01,2.894420111072812940e+00,-4.391384127459492248e-01
2.027500582108315541e+01,-1.744085496390263401e+01,2.859656938428476458e+00,-1.073955212796789127e-01
2.015195074150167187e+01,-1.740520635153717777e+01,2.866583446015507519e+00,2.223899881522989896e-01
2.003137299173259223e+01,-1.737346073693034398e+01,2.903396089225754206e+00,3.287829743776715663e-01
1.991245229602749234e+01,-1.734722832459522479e+01,2.946555876158582166e+00,3.772797898517473714e-01
1.979351755523396150e+01,-1.732661823277828717e+01,2.994022089913103368e+00,4.051691104372421859e-01
1.967289566440167903e+01,-1.731173604094733420e+01,3.043703462360548784e+00,4.080263124152024856e-01
1.954891351858032067e+01,-1.730268732857017966e+01,3.093327356973137654e+00,3.866941693176593198e-01
1.941994873166220259e+01,-1.729952780222799191e+01,3.137614481857997184e+00,2.143938924183835804e-01
1.928695793238680523e+01,-1.729977716988033620e+01,3.141187532358642454e+00,-1.549204116999818304e-01
1.915464900314985286e+01,-1.729726645420744902e+01,3.095241054679215065e+00,-5.567660687051436685e-01
1.902802535972038100e+01,-1.728553607381336121e+01,2.991290014073092696e+00,-1.121238925740153602e+00
1.891209041786738965e+01,-1.725812644730206458e+01,2.810823102524106609e+00,-1.962968980951110609e+00
1.881184759335989298e+01,-1.720857799327757576e+01,2.536355740337443709e+00,-2.899556980230926673e+00
1.873115733525682813e+01,-1.713195955922978797e+01,2.245772563171884784e+00,-2.081307554055638498e+00
1.866704696998029789e+01,-1.703247756588390160e+01,2.059659595388179110e+00,-1.124997316407464254e+00
1.861401550115483161e+01,-1.691771942622203184e+01,1.961194820125297777e+00,-4.808302375404199247e-01
1.856655784816277688e+01,-1.679527801486715077e+01,1.930266319488526117e+00,-5.500920833530465424e-03
1.851916893038648837e+01,-1.667274620644223759e+01,1.959684570202713472e+00,4.678993351957793645e-01
1.846733778608674470e+01,-1.655634497220001933e+01,2.018007296070782441e+00,4.116443228078530137e-01
1.841118456962519900e+01,-1.644590425318079596e+01,2.061847345656228736e+00,2.906580606150360735e-01
1.835217695266467786e+01,-1.633939439036387142e+01,2.088646331631448305e+00,1.463211527368698806e-01
1.829178275854969371e+01,-1.623478551540486947e+01,2.096981674988336763e+00,-9.272240271608410411e-03
1.823146980137765638e+01,-1.613004777284897884e+01,2.086440870530893665e+00,-1.580397319325482774e-01
1.817237078665174010e+01,-1.602361841587322999e+01,2.069794370031156294e+00,-1.159573483750005185e-01
1.811439748202846545e+01,-1.591563656569659457e+01,2.058038146447887407e+00,-7.625260139701457718e-02
1.805718367474742436e+01,-1.580662882107357703e+01,2.051011108425381924e+00,-3.812157808676903958e-02
1.800036315204820525e+01,-1.569712178075868358e+01,2.048617072635535052e+00,-7.541683108583725108e-04
1.794356978862351681e+01,-1.558764189829903835e+01,2.050794972241293479e+00,3.218705368489804819e-02
1.788652058867743833e+01,-1.547857759877851613e+01,2.054636361200469441e+00,3.021584903159807434e-02
1.782917033732118028e+01,-1.536992249522620213e+01,2.058223132513270937e+00,2.815699041922458540e-02
1.777151606225187308e+01,-1.526160006096844235e+01,2.061547970649018957e+00,2.602078440801607051e-02
1.771355479116664000e+01,-1.515353376933157747e+01,2.064604446440069463e+00,2.381813681897454113e-02
1.765528402217211834e+01,-1.504564691592676873e+01,2.067324520774430852e+00,1.632935854506277484e-02
1.759680773517706243e+01,-1.493782256879068804e+01,2.067543282191007581e+00,-1.274960185599238564e-02
1.753847089129505221e+01,-1.482985275609057929e+01,2.064198024837793355e+00,-4.174948324753391393e-02
1.748065159249799194e+01,-1.472151698576655932e+01,2.057296126356651378e+00,-7.063250601141747576e-02
1.742372794075777875e+01,-1.461259476575874139e+01,2.046848911923298431e+00,-9.933762783366816007e-02
1.736807136542821439e+01,-1.450286977183415971e+01,2.033563599320182380e+00,-8.732883755979103935e-02
1.731342516230790807e+01,-1.439251802229962784e+01,2.030037024150944891e+00,2.999249882168484801e-02
1.725839888268877687e+01,-1.428242369091002217e+01,2.040962846249511742e+00,1.477720353388135843e-01
1.720148309098608763e+01,-1.417354527257853469e+01,2.066432737707183165e+00,2.672072631294220568e-01
1.714116835161509300e+01,-1.406684126221834319e+01,2.106587073754950801e+00,3.881023711085107575e-01
1.707596783939613516e+01,-1.396325590972049291e+01,2.159626909967564234e+00,4.246056161138110352e-01
1.700553313180052939e+01,-1.386301624779667740e+01,2.204655128147671839e+00,3.104362318956269129e-01
1.693116513057111305e+01,-1.376531020080718548e+01,2.235807683236199939e+00,1.973098965070329558e-01
1.685429395549564191e+01,-1.366924428307551231e+01,2.253218876347260036e+00,8.600557304897234190e-02
1.677634972636184330e+01,-1.357392500892515486e+01,2.257011925679991204e+00,-2.436557472847381695e-02
1.669876256158406846e+01,-1.347845889347832227e+01,2.247204580493665116e+00,-1.329831489585850401e-01
1.662261618593108636e+01,-1.338215389633257502e+01,2.233243796295080408e+00,-9.427551872625021534e-02
1.654767399089366720e+01,-1.328508581404756406e+01,2.224092993891454206e+00,-5.488624240052290132e-02
1.647338483391515851e+01,-1.318751335977789729e+01,2.219791741565536825e+00,-1.525879317891144435e-02
1.639919757243890430e+01,-1.308969524667819329e+01,2.220345742134018252e+00,2.421724275901757789e-02
1.632456106390826278e+01,-1.299189018790306882e+01,2.225729874958681798e+00,6.317320872361963102e-02
1.624899165121034628e+01,-1.289433652867900726e+01,2.233520695928394861e+00,4.453915291586459796e-02
1.617277114292434703e+01,-1.279704158737203201e+01,2.236200855232413520e+00,-1.120139967133521302e-03
1.609666629755329481e+01,-1.269986631856000692e+01,2.233235872421449830e+00,-4.710010353805284961e-02
1.602145156553605432e+01,-1.260266935530096255e+01,2.224551354581004503e+00,-9.463445694994236657e-02
1.594790139731150447e+01,-1.250530933065294015e+01,2.209971854924818846e+00,-1.449816302930715672e-01
1.587677019662130107e+01,-1.240764758260036338e+01,2.190572451899657658e+00,-1.311147405655840870e-01
1.580758781504506949e+01,-1.230971067951123743e+01,2.184158217954325742e+00,2.497265124071849224e-02
1.573797343509924751e+01,-1.221178299876484630e+01,2.196488914420728022e+00,1.784773707169099999e-01
1.566538039758501277e+01,-1.211417129497444201e+01,2.226785591791130781e+00,3.152889096281883963e-01
1.558726204330354825e+01,-1.201718232275327480e+01,2.273127420904606399e+00,4.224573846372496333e-01
1.550107171305603693e+01,-1.192112283671459849e+01,2.332522323277751664e+00,4.902716370455115769e-01
